Pair,EntryTime,ExitTime,EntryPrice,ExitPrice,R,DurationBars,BTC_OK,VolExpansion,FailedBounce,Rejection,LiquidationOverride,MaxFavorableR,MaxAdverseR
B-ETHUSDT,1769320800000,1769364000000,2936.85,2874.350999203046,8.75,48,1,0,0,0,1,7.29,0.90
B-XRPUSDT,1525971600000,1526021100000,0.789,0.7193816861030781,8.75,55,1,0,0,0,1,5.60,0.84
B-XRPUSDT,1527028200000,1527496200000,0.64198,0.56963505039997,8.75,520,1,0,0,0,1,5.16,0.42
B-XRPUSDT,1533595500000,1533600900000,0.40501,0.41554556059566433,-1.00,6,1,0,0,0,1,0.00,1.01
B-XRPUSDT,1533675600000,1533957300000,0.37706,0.3036177080256551,8.75,313,1,0,0,0,1,5.17,0.61
B-XRPUSDT,1539141300000,1539220500000,0.47208,0.4387199735093941,7.50,88,1,0,0,0,1,6.56,0.57
B-XRPUSDT,1539237600000,1539323100000,0.4045,0.42199247185598665,-1.00,95,1,0,0,0,1,1.58,1.34
B-XRPUSDT,1542134700000,1542207600000,0.52265,0.4890149299650147,8.75,53,1,0,0,0,1,5.60,0.50
B-XRPUSDT,1543087800000,1543097700000,0.40411,0.3758622573803169,5.00,11,1,0,0,0,1,5.68,0.16
B-XRPUSDT,1550428200000,1550442600000,0.29884,0.3023211222649,-1.00,16,1,0,0,1,1,0.07,1.23
B-XRPUSDT,1551016800000,1551119400000,0.30907,0.33458433971728657,-1.00,114,1,0,0,0,1,0.60,1.20
B-XRPUSDT,1554102900000,1554120900000,0.31184,0.31339576864424057,-1.00,20,1,0,1,1,0,0.64,1.26
B-XRPUSDT,1554129900000,1554146100000,0.31123,0.312833830523241,-1.00,18,1,0,0,0,1,0.36,1.08
B-XRPUSDT,1556540100000,1556616600000,0.29301,0.296617570180305,-1.00,85,1,0,0,0,1,0.95,1.82
B-XRPUSDT,1561482000000,1561483800000,0.45877,0.4627798217740279,-1.00,2,1,0,0,0,1,0.13,3.49
B-XRPUSDT,1568635200000,1568666700000,0.2585,0.26106977874130866,-1.00,35,1,0,0,0,1,0.72,1.05
B-XRPUSDT,1569759300000,1569772800000,0.23617,0.2377034003531882,-1.00,15,1,0,0,0,1,1.24,1.05
B-XRPUSDT,1570344300000,1570374900000,0.25148,0.2542496320330458,-1.00,34,1,0,0,0,1,0.31,1.09
B-XRPUSDT,1574553600000,1574639100000,0.23242,0.22137461050660667,8.75,95,1,0,0,0,1,6.40,0.21
B-XRPUSDT,1576454400000,1576468800000,0.21681,0.2122517579041116,8.75,16,1,0,0,0,1,5.34,0.29
B-XRPUSDT,1576486800000,1576504800000,0.21288,0.21399395190326806,-1.00,20,1,0,0,0,1,2.06,1.18
B-XRPUSDT,1576520100000,1576553400000,0.21081,0.19624735281486155,5.00,37,1,0,0,0,1,7.38,0.02
B-XRPUSDT,1583625600000,1583681400000,0.23398,0.21986962860190803,7.50,62,1,0,0,0,1,7.08,0.00
B-XRPUSDT,1583946000000,1583959500000,0.20333,0.20686643938855678,-1.00,15,1,0,0,0,1,1.22,1.14
B-XRPUSDT,1583985600000,1584054900000,0.19087,0.13954638077259615,8.75,77,1,0,0,0,1,6.13,0.56
B-XRPUSDT,1588085100000,1588089600000,0.20511,0.20840641688913278,-1.00,5,1,0,0,1,1,0.11,1.03
B-XRPUSDT,1595427300000,1595429100000,0.19746,0.19824090205420283,-1.00,2,1,0,0,0,1,0.27,1.93
B-XRPUSDT,1596286800000,1596297600000,0.26596,0.27175939491474965,-1.00,12,1,0,0,0,1,0.81,1.21
B-XRPUSDT,1601805600000,1601815500000,0.2323,0.23427371597141292,-1.00,11,1,0,0,1,1,0.18,2.89
B-XRPUSDT,1604304900000,1604400300000,0.23892,0.2417878274256811,-1.00,106,1,0,0,0,1,3.91,1.58
B-XRPUSDT,1605848400000,1605872700000,0.29841,0.30418885225496856,-1.00,27,1,0,0,0,1,0.28,1.05
B-XRPUSDT,1607416200000,1607467500000,0.59532,0.5607685870949638,8.75,57,1,0,0,0,1,5.11,0.53
B-XRPUSDT,1608076800000,1608126300000,0.46088,0.47149665210093855,-1.00,55,1,0,0,1,1,2.23,3.68
B-XRPUSDT,1608614100000,1608635700000,0.46237,0.4894140146918441,-1.00,24,1,0,0,0,1,0.43,1.03
B-XRPUSDT,1609180200000,1609239600000,0.28029,0.20908180336808385,8.75,66,1,0,0,0,1,5.47,0.53
B-XRPUSDT,1612863000000,1612915200000,0.45352,0.47790912870485946,-1.00,58,1,0,0,0,1,0.14,1.05
B-XRPUSDT,1623074400000,1623098700000,0.9516,0.8842694839659274,8.75,27,1,0,0,0,1,6.58,0.01
B-XRPUSDT,1627394400000,1627455600000,0.6341,0.6524302906306889,-1.00,68,1,0,0,0,1,0.56,1.40
B-XRPUSDT,1632051900000,1632083400000,1.0589,1.0729977850800336,-1.00,35,1,0,0,0,1,0.22,1.37
B-XRPUSDT,1632096000000,1632106800000,1.0397,0.9768078990044438,8.75,12,1,0,0,0,1,5.74,0.25
B-XRPUSDT,1633725900000,1633755600000,1.0584,1.0764508711463134,-1.00,33,1,0,0,0,1,0.13,1.02
B-XRPUSDT,1635256800000,1635273000000,1.0996,1.1146397848819671,-1.00,18,1,0,0,0,1,0.43,1.21
B-XRPUSDT,1638959400000,1638972900000,0.8113,0.8344692317198967,-1.00,15,1,0,0,0,1,0.38,1.54
B-XRPUSDT,1642728600000,1642801500000,0.7098,0.6190772132232598,8.75,81,1,0,0,1,1,5.43,0.53
